tx_id,from_account_id,to_account_id,amount,tx_time,channel,merchant_category,tx_type,is_fraud_label,scenario_tag
TX-00074,ACC-BIZ-001,ACC-CHK-010,2728.67,2026-02-03 12:00:00,ach,payroll,transfer,normal,
TX-00135,ACC-BIZ-001,ACC-CHK-017,2035.97,2026-02-03 12:00:00,ach,payroll,transfer,normal,
TX-00146,ACC-BIZ-001,ACC-CHK-018,2488.01,2026-02-03 12:00:00,ach,payroll,transfer,normal,
TX-00001,ACC-BIZ-001,ACC-CHK-001,2874.14,2026-02-03 13:00:00,ach,payroll,transfer,normal,
TX-00110,ACC-BIZ-001,ACC-CHK-014,2612.66,2026-02-03 13:00:00,ach,payroll,transfer,normal,
TX-00016,ACC-CHK-003,ACC-BIZ-002,1580.19,2026-02-03 15:00:00,ach,housing,transfer,normal,
TX-00080,ACC-CHK-010,ACC-BIZ-003,41.69,2026-02-03 21:56:00,card,groceries,withdrawal,normal,
TX-00060,ACC-CHK-008,ACC-BIZ-003,134.26,2026-02-03 22:39:00,card,groceries,withdrawal,normal,
TX-00091,ACC-CHK-011,ACC-BIZ-003,71.82,2026-02-04 04:53:00,card,groceries,withdrawal,normal,
TX-00033,ACC-CHK-005,ACC-BIZ-002,1510.21,2026-02-04 11:00:00,ach,housing,transfer,normal,
TX-00041,ACC-CHK-006,ACC-BIZ-002,1112.41,2026-02-04 13:00:00,ach,housing,transfer,normal,
TX-00085,ACC-CHK-011,ACC-BIZ-002,1706.65,2026-02-04 14:00:00,ach,housing,transfer,normal,
TX-00034,ACC-CHK-005,ACC-BIZ-004,198.16,2026-02-04 15:00:00,ach,utilities,withdrawal,normal,
TX-00026,ACC-CHK-004,ACC-BIZ-002,1821.31,2026-02-04 16:00:00,ach,housing,transfer,normal,
TX-00155,ACC-CHK-019,ACC-BIZ-004,224.77,2026-02-04 17:00:00,ach,utilities,withdrawal,normal,
TX-00066,ACC-CHK-009,ACC-BIZ-002,1937.25,2026-02-04 18:00:00,ach,housing,transfer,normal,
TX-00125,ACC-CHK-015,ACC-BIZ-003,27.80,2026-02-05 01:58:00,card,groceries,withdrawal,normal,
TX-00081,ACC-CHK-010,ACC-BIZ-003,47.34,2026-02-05 02:41:00,card,groceries,withdrawal,normal,
TX-00061,ACC-CHK-008,ACC-BIZ-003,114.69,2026-02-05 03:33:00,card,groceries,withdrawal,normal,
TX-00169,ACC-CHK-004,ACC-CHK-019,50.93,2026-02-05 04:20:00,internal,p2p_transfer,transfer,normal,
TX-00049,ACC-CHK-007,ACC-BIZ-002,2064.06,2026-02-05 11:00:00,ach,housing,transfer,normal,
TX-00160,ACC-CHK-020,ACC-BIZ-002,1088.42,2026-02-05 11:00:00,ach,housing,transfer,normal,
TX-00067,ACC-CHK-009,ACC-BIZ-004,215.99,2026-02-05 13:00:00,ach,utilities,withdrawal,normal,
TX-00002,ACC-CHK-001,ACC-BIZ-002,1209.91,2026-02-05 14:00:00,ach,housing,transfer,normal,
TX-00094,ACC-CHK-012,ACC-BIZ-002,1204.84,2026-02-05 15:00:00,ach,housing,transfer,normal,
TX-00009,ACC-CHK-002,ACC-BIZ-002,1407.02,2026-02-05 16:00:00,ach,housing,transfer,normal,
TX-00130,ACC-CHK-016,ACC-BIZ-002,1626.46,2026-02-05 17:00:00,ach,housing,transfer,normal,
TX-00056,ACC-CHK-008,ACC-BIZ-002,1900.59,2026-02-05 18:00:00,ach,housing,transfer,normal,
TX-00154,ACC-CHK-019,ACC-BIZ-002,1051.29,2026-02-05 19:00:00,ach,housing,transfer,normal,
TX-00142,ACC-CHK-017,ACC-BIZ-003,38.96,2026-02-05 19:20:00,card,groceries,withdrawal,normal,
TX-00121,ACC-CHK-015,ACC-BIZ-002,1330.70,2026-02-05 21:00:00,ach,housing,transfer,normal,
TX-00018,ACC-CHK-003,ACC-BIZ-003,26.46,2026-02-05 21:38:00,card,groceries,withdrawal,normal,
TX-00157,ACC-CHK-019,ACC-BIZ-003,31.20,2026-02-05 23:07:00,card,groceries,withdrawal,normal,
TX-00082,ACC-CHK-010,ACC-BIZ-003,92.23,2026-02-06 00:24:00,card,groceries,withdrawal,normal,
TX-00030,ACC-CHK-004,ACC-BIZ-003,183.68,2026-02-06 04:00:00,card,groceries,withdrawal,normal,
TX-00050,ACC-CHK-007,ACC-BIZ-004,228.45,2026-02-06 12:00:00,ach,utilities,withdrawal,normal,
TX-00131,ACC-CHK-016,ACC-BIZ-004,207.13,2026-02-06 14:00:00,ach,utilities,withdrawal,normal,
TX-00104,ACC-CHK-013,ACC-BIZ-002,1465.39,2026-02-06 15:00:00,ach,housing,transfer,normal,
TX-00057,ACC-CHK-008,ACC-BIZ-004,99.68,2026-02-06 16:00:00,ach,utilities,withdrawal,normal,
TX-00147,ACC-CHK-018,ACC-BIZ-002,1602.25,2026-02-06 16:00:00,ach,housing,transfer,normal,
TX-00027,ACC-CHK-004,ACC-BIZ-004,193.00,2026-02-06 18:00:00,ach,utilities,withdrawal,normal,
TX-00156,ACC-CHK-019,ACC-BIZ-003,129.11,2026-02-06 23:19:00,card,groceries,withdrawal,normal,
TX-00054,ACC-CHK-007,ACC-BIZ-005,839.28,2026-02-07 02:50:00,ach,investment,transfer,normal,
TX-00004,ACC-CHK-001,ACC-BIZ-003,65.09,2026-02-07 05:37:00,card,groceries,withdrawal,normal,
TX-00075,ACC-CHK-010,ACC-BIZ-002,2124.21,2026-02-07 13:00:00,ach,housing,transfer,normal,
TX-00136,ACC-CHK-017,ACC-BIZ-002,1465.16,2026-02-07 15:00:00,ach,housing,transfer,normal,
TX-00111,ACC-CHK-014,ACC-BIZ-002,1775.88,2026-02-07 20:00:00,ach,housing,transfer,normal,
TX-00096,ACC-CHK-012,ACC-BIZ-003,76.30,2026-02-07 21:22:00,card,groceries,withdrawal,normal,
TX-00127,ACC-CHK-015,ACC-BIZ-003,49.92,2026-02-07 23:45:00,card,groceries,withdrawal,normal,
TX-00194,ACC-CHK-002,ACC-CHK-016,347.12,2026-02-08 00:24:00,internal,p2p_transfer,transfer,normal,
TX-00042,ACC-CHK-006,ACC-BIZ-004,117.02,2026-02-08 13:00:00,ach,utilities,withdrawal,normal,
TX-00122,ACC-CHK-015,ACC-BIZ-004,104.48,2026-02-08 14:00:00,ach,utilities,withdrawal,normal,
TX-00017,ACC-CHK-003,ACC-BIZ-004,90.45,2026-02-08 15:00:00,ach,utilities,withdrawal,normal,
TX-00086,ACC-CHK-011,ACC-BIZ-004,135.46,2026-02-08 16:00:00,ach,utilities,withdrawal,normal,
TX-00003,ACC-CHK-001,ACC-BIZ-004,143.78,2026-02-08 17:00:00,ach,utilities,withdrawal,normal,
TX-00118,ACC-CHK-014,ACC-BIZ-003,33.72,2026-02-08 17:30:00,card,groceries,withdrawal,normal,
TX-00070,ACC-CHK-009,ACC-BIZ-003,174.55,2026-02-08 19:34:00,card,groceries,withdrawal,normal,
TX-00087,ACC-CHK-011,ACC-BIZ-003,99.80,2026-02-09 00:37:00,card,groceries,withdrawal,normal,
TX-00150,ACC-CHK-018,ACC-BIZ-003,175.12,2026-02-09 01:25:00,card,groceries,withdrawal,normal,
TX-00047,ACC-CHK-006,ACC-BIZ-005,1093.87,2026-02-09 01:26:00,ach,investment,transfer,normal,
TX-00174,ACC-CHK-012,ACC-CHK-018,355.80,2026-02-09 03:45:00,internal,p2p_transfer,transfer,normal,
TX-00099,ACC-CHK-012,ACC-BIZ-003,31.89,2026-02-09 05:09:00,card,groceries,withdrawal,normal,
TX-00095,ACC-CHK-012,ACC-BIZ-004,144.20,2026-02-09 11:00:00,ach,utilities,withdrawal,normal,
TX-00013,ACC-CHK-002,ACC-BIZ-003,87.40,2026-02-09 18:02:00,card,groceries,withdrawal,normal,
TX-00044,ACC-CHK-006,ACC-BIZ-003,46.55,2026-02-09 18:54:00,card,groceries,withdrawal,normal,
TX-00021,ACC-CHK-003,ACC-BIZ-003,161.93,2026-02-09 22:56:00,card,groceries,withdrawal,normal,
TX-00132,ACC-CHK-016,ACC-BIZ-003,182.77,2026-02-10 02:21:00,card,groceries,withdrawal,normal,
TX-00192,ACC-CHK-006,ACC-CHK-008,220.40,2026-02-10 03:23:00,internal,p2p_transfer,transfer,normal,
TX-00189,ACC-CHK-014,ACC-CHK-002,382.83,2026-02-10 04:56:00,internal,p2p_transfer,transfer,normal,
TX-00105,ACC-CHK-013,ACC-BIZ-004,221.97,2026-02-10 10:00:00,ach,utilities,withdrawal,normal,
TX-00161,ACC-CHK-020,ACC-BIZ-004,235.02,2026-02-10 11:00:00,ach,utilities,withdrawal,normal,
TX-00010,ACC-CHK-002,ACC-BIZ-004,167.23,2026-02-10 12:00:00,ach,utilities,withdrawal,normal,
TX-00148,ACC-CHK-018,ACC-BIZ-004,120.86,2026-02-10 13:00:00,ach,utilities,withdrawal,normal,
TX-00112,ACC-CHK-014,ACC-BIZ-004,108.63,2026-02-10 17:00:00,ach,utilities,withdrawal,normal,
TX-00141,ACC-CHK-017,ACC-BIZ-003,129.80,2026-02-10 18:51:00,card,groceries,withdrawal,normal,
TX-00090,ACC-CHK-011,ACC-BIZ-003,128.30,2026-02-10 19:19:00,card,groceries,withdrawal,normal,
TX-00113,ACC-CHK-014,ACC-BIZ-003,54.00,2026-02-10 20:10:00,card,groceries,withdrawal,normal,
TX-00168,ACC-CHK-018,ACC-CHK-008,95.82,2026-02-10 21:57:00,internal,p2p_transfer,transfer,normal,
TX-00023,ACC-CHK-003,ACC-BIZ-005,831.78,2026-02-11 00:57:00,ach,investment,transfer,normal,
TX-00051,ACC-CHK-007,ACC-BIZ-003,34.21,2026-02-11 01:39:00,card,groceries,withdrawal,normal,
TX-00119,ACC-CHK-014,ACC-CHK-014,333.12,2026-02-11 03:33:00,cash,branch_deposit,deposit,normal,
TX-00164,ACC-CHK-020,ACC-BIZ-003,108.75,2026-02-11 04:40:00,card,groceries,withdrawal,normal,
TX-00028,ACC-CHK-004,ACC-BIZ-003,98.13,2026-02-11 05:09:00,card,groceries,withdrawal,normal,
TX-00076,ACC-CHK-010,ACC-BIZ-004,108.39,2026-02-11 16:00:00,ach,utilities,withdrawal,normal,
TX-00183,ACC-CHK-009,ACC-CHK-004,102.69,2026-02-11 16:53:00,internal,p2p_transfer,transfer,normal,
TX-00152,ACC-CHK-018,ACC-CHK-018,1888.60,2026-02-11 16:56:00,cash,branch_deposit,deposit,normal,
TX-00137,ACC-CHK-017,ACC-BIZ-004,110.75,2026-02-11 17:00:00,ach,utilities,withdrawal,normal,
TX-00098,ACC-CHK-012,ACC-BIZ-003,97.58,2026-02-11 19:32:00,card,groceries,withdrawal,normal,
TX-00109,ACC-CHK-013,ACC-BIZ-005,1768.72,2026-02-11 20:20:00,ach,investment,transfer,normal,
TX-00043,ACC-CHK-006,ACC-BIZ-003,80.34,2026-02-11 20:56:00,card,groceries,withdrawal,normal,
TX-00185,ACC-CHK-010,ACC-CHK-008,222.52,2026-02-11 21:46:00,internal,p2p_transfer,transfer,normal,
TX-00144,ACC-CHK-017,ACC-BIZ-005,1090.21,2026-02-11 22:39:00,ach,investment,transfer,normal,
TX-00079,ACC-CHK-010,ACC-BIZ-003,118.55,2026-02-11 22:42:00,card,groceries,withdrawal,normal,
TX-00102,ACC-CHK-012,ACC-CHK-012,1056.19,2026-02-12 00:02:00,cash,branch_deposit,deposit,normal,
TX-00039,ACC-CHK-005,ACC-CHK-005,347.96,2026-02-12 03:47:00,cash,branch_deposit,deposit,normal,
TX-00167,ACC-CHK-012,ACC-CHK-018,373.60,2026-02-12 05:09:00,internal,p2p_transfer,transfer,normal,
TX-00134,ACC-CHK-016,ACC-BIZ-003,85.03,2026-02-12 16:14:00,card,groceries,withdrawal,normal,
TX-00059,ACC-CHK-008,ACC-BIZ-003,163.90,2026-02-12 16:55:00,card,groceries,withdrawal,normal,
TX-00024,ACC-CHK-003,ACC-CHK-003,2179.17,2026-02-12 17:19:00,cash,branch_deposit,deposit,normal,
TX-00139,ACC-CHK-017,ACC-BIZ-003,69.72,2026-02-12 17:23:00,card,groceries,withdrawal,normal,
TX-00071,ACC-CHK-009,ACC-BIZ-003,90.78,2026-02-13 00:26:00,card,groceries,withdrawal,normal,
TX-00045,ACC-CHK-006,ACC-BIZ-003,112.62,2026-02-13 16:03:00,card,groceries,withdrawal,normal,
TX-00072,ACC-CHK-009,ACC-BIZ-003,143.12,2026-02-13 16:21:00,card,groceries,withdrawal,normal,
TX-00123,ACC-CHK-015,ACC-BIZ-003,165.75,2026-02-13 21:58:00,card,groceries,withdrawal,normal,
TX-00196,ACC-CHK-012,ACC-CHK-004,106.95,2026-02-13 23:37:00,internal,p2p_transfer,transfer,normal,
TX-00201,ACC-CHK-013,ACC-CHK-001,199.62,2026-02-14 00:19:00,internal,p2p_transfer,transfer,normal,
TX-00171,ACC-CHK-003,ACC-CHK-017,80.26,2026-02-14 00:29:00,internal,p2p_transfer,transfer,normal,
TX-00022,ACC-CHK-003,ACC-BIZ-003,59.06,2026-02-14 04:04:00,card,groceries,withdrawal,normal,
TX-00106,ACC-CHK-013,ACC-BIZ-003,115.04,2026-02-14 04:58:00,card,groceries,withdrawal,normal,
TX-00037,ACC-CHK-005,ACC-BIZ-003,43.93,2026-02-14 05:37:00,card,groceries,withdrawal,normal,
TX-00187,ACC-CHK-011,ACC-CHK-016,156.39,2026-02-14 23:02:00,internal,p2p_transfer,transfer,normal,
TX-00184,ACC-CHK-010,ACC-CHK-015,266.50,2026-02-15 01:38:00,internal,p2p_transfer,transfer,normal,
TX-00179,ACC-CHK-014,ACC-CHK-002,414.85,2026-02-15 03:16:00,internal,p2p_transfer,transfer,normal,
TX-00029,ACC-CHK-004,ACC-BIZ-003,95.77,2026-02-15 03:52:00,card,groceries,withdrawal,normal,
TX-00101,ACC-CHK-012,ACC-BIZ-005,1414.47,2026-02-15 18:13:00,ach,investment,transfer,normal,
TX-00068,ACC-CHK-009,ACC-BIZ-003,97.29,2026-02-15 19:15:00,card,groceries,withdrawal,normal,
TX-00007,ACC-CHK-001,ACC-BIZ-005,1370.96,2026-02-15 20:28:00,ach,investment,transfer,normal,
TX-00133,ACC-CHK-016,ACC-BIZ-003,163.30,2026-02-15 20:49:00,card,groceries,withdrawal,normal,
TX-00182,ACC-CHK-012,ACC-CHK-008,276.99,2026-02-16 04:06:00,internal,p2p_transfer,transfer,normal,
TX-00176,ACC-CHK-004,ACC-CHK-008,292.91,2026-02-16 04:57:00,internal,p2p_transfer,transfer,normal,
TX-00177,ACC-CHK-001,ACC-CHK-007,344.70,2026-02-16 04:59:00,internal,p2p_transfer,transfer,normal,
TX-00052,ACC-CHK-007,ACC-BIZ-003,94.15,2026-02-16 05:06:00,card,groceries,withdrawal,normal,
TX-00165,ACC-CHK-020,ACC-BIZ-003,65.50,2026-02-16 17:03:00,card,groceries,withdrawal,normal,
TX-00088,ACC-CHK-011,ACC-BIZ-003,171.28,2026-02-16 20:24:00,card,groceries,withdrawal,normal,
TX-00097,ACC-CHK-012,ACC-BIZ-003,37.77,2026-02-16 23:07:00,card,groceries,withdrawal,normal,
TX-00063,ACC-CHK-008,ACC-BIZ-003,100.78,2026-02-16 23:49:00,card,groceries,withdrawal,normal,
TX-00188,ACC-CHK-008,ACC-CHK-009,283.33,2026-02-16 23:55:00,internal,p2p_transfer,transfer,normal,
TX-00069,ACC-CHK-009,ACC-BIZ-003,88.36,2026-02-17 00:30:00,card,groceries,withdrawal,normal,
TX-00193,ACC-CHK-020,ACC-CHK-009,35.31,2026-02-17 02:21:00,internal,p2p_transfer,transfer,normal,
TX-00014,ACC-CHK-002,ACC-BIZ-005,1759.16,2026-02-17 02:55:00,ach,investment,transfer,normal,
TX-00053,ACC-CHK-007,ACC-BIZ-003,144.80,2026-02-17 04:46:00,card,groceries,withdrawal,normal,
TX-00151,ACC-CHK-018,ACC-BIZ-003,69.86,2026-02-17 16:08:00,card,groceries,withdrawal,normal,
TX-00186,ACC-CHK-006,ACC-CHK-008,41.99,2026-02-17 16:12:00,internal,p2p_transfer,transfer,normal,
TX-00046,ACC-CHK-006,ACC-BIZ-003,25.88,2026-02-17 16:56:00,card,groceries,withdrawal,normal,
TX-00143,ACC-CHK-017,ACC-BIZ-003,153.99,2026-02-17 17:09:00,card,groceries,withdrawal,normal,
TX-00038,ACC-CHK-005,ACC-BIZ-003,172.49,2026-02-17 20:12:00,card,groceries,withdrawal,normal,
TX-00092,ACC-CHK-011,ACC-BIZ-003,77.85,2026-02-17 22:08:00,card,groceries,withdrawal,normal,
TX-00124,ACC-CHK-015,ACC-BIZ-003,113.32,2026-02-17 23:00:00,card,groceries,withdrawal,normal,
TX-00200,ACC-CHK-020,ACC-CHK-017,66.07,2026-02-18 02:06:00,internal,p2p_transfer,transfer,normal,
TX-00138,ACC-CHK-017,ACC-BIZ-003,100.76,2026-02-18 02:29:00,card,groceries,withdrawal,normal,
TX-00178,ACC-CHK-018,ACC-CHK-010,355.46,2026-02-18 05:15:00,internal,p2p_transfer,transfer,normal,
TX-00062,ACC-CHK-008,ACC-BIZ-003,94.05,2026-02-18 05:37:00,card,groceries,withdrawal,normal,
TX-00202,ACC-FEED-001,ACC-AML-HUB-001,8940.00,2026-02-18 09:05:00,cash,branch_deposit,deposit,smurfing,smurfing_funnel_001
TX-00203,ACC-FEED-002,ACC-AML-HUB-001,9180.00,2026-02-18 09:32:00,cash,branch_deposit,deposit,smurfing,smurfing_funnel_001
TX-00204,ACC-FEED-003,ACC-AML-HUB-001,9420.00,2026-02-18 10:04:00,cash,branch_deposit,deposit,smurfing,smurfing_funnel_001
TX-00205,ACC-FEED-004,ACC-AML-HUB-001,9760.00,2026-02-18 10:41:00,cash,branch_deposit,deposit,smurfing,smurfing_funnel_001
TX-00206,ACC-FEED-005,ACC-AML-HUB-001,9860.00,2026-02-18 11:18:00,cash,branch_deposit,deposit,smurfing,smurfing_funnel_001
TX-00207,ACC-FEED-006,ACC-AML-HUB-001,9640.00,2026-02-18 11:54:00,cash,branch_deposit,deposit,smurfing,smurfing_funnel_001
TX-00208,ACC-AML-HUB-001,ACC-SHELL-001,54900.00,2026-02-18 13:10:00,wire,consulting_services,transfer,smurfing,smurfing_funnel_001
TX-00031,ACC-CHK-004,ACC-CHK-004,1548.68,2026-02-18 17:02:00,cash,branch_deposit,deposit,normal,
TX-00190,ACC-CHK-002,ACC-CHK-009,148.11,2026-02-18 18:39:00,internal,p2p_transfer,transfer,normal,
TX-00162,ACC-CHK-020,ACC-BIZ-003,53.23,2026-02-18 19:21:00,card,groceries,withdrawal,normal,
TX-00114,ACC-CHK-014,ACC-BIZ-003,65.95,2026-02-18 20:12:00,card,groceries,withdrawal,normal,
TX-00170,ACC-CHK-005,ACC-CHK-006,411.56,2026-02-18 21:45:00,internal,p2p_transfer,transfer,normal,
TX-00180,ACC-CHK-002,ACC-CHK-011,72.93,2026-02-18 22:46:00,internal,p2p_transfer,transfer,normal,
TX-00019,ACC-CHK-003,ACC-BIZ-003,107.84,2026-02-18 22:50:00,card,groceries,withdrawal,normal,
TX-00181,ACC-CHK-005,ACC-CHK-003,45.13,2026-02-19 00:23:00,internal,p2p_transfer,transfer,normal,
TX-00173,ACC-CHK-015,ACC-CHK-007,363.21,2026-02-19 05:21:00,internal,p2p_transfer,transfer,normal,
TX-00199,ACC-CHK-019,ACC-CHK-015,137.43,2026-02-19 20:00:00,internal,p2p_transfer,transfer,normal,
TX-00078,ACC-CHK-010,ACC-BIZ-003,87.95,2026-02-19 22:49:00,card,groceries,withdrawal,normal,
TX-00197,ACC-CHK-020,ACC-CHK-015,290.48,2026-02-19 23:17:00,internal,p2p_transfer,transfer,normal,
TX-00073,ACC-CHK-009,ACC-BIZ-003,81.66,2026-02-19 23:23:00,card,groceries,withdrawal,normal,
TX-00149,ACC-CHK-018,ACC-BIZ-003,145.47,2026-02-19 23:43:00,card,groceries,withdrawal,normal,
TX-00117,ACC-CHK-014,ACC-BIZ-003,34.78,2026-02-20 01:57:00,card,groceries,withdrawal,normal,
TX-00107,ACC-CHK-013,ACC-BIZ-003,175.15,2026-02-20 02:29:00,card,groceries,withdrawal,normal,
TX-00209,ACC-AML-HUB-001,ACC-BIZ-005,1400.00,2026-02-20 10:15:00,ach,brokerage,transfer,normal,
TX-00175,ACC-CHK-011,ACC-CHK-020,411.21,2026-02-20 16:48:00,internal,p2p_transfer,transfer,normal,
TX-00126,ACC-CHK-015,ACC-BIZ-003,177.15,2026-02-20 18:25:00,card,groceries,withdrawal,normal,
TX-00005,ACC-CHK-001,ACC-BIZ-003,35.67,2026-02-20 21:57:00,card,groceries,withdrawal,normal,
TX-00083,ACC-CHK-010,ACC-BIZ-005,1429.40,2026-02-21 02:25:00,ach,investment,transfer,normal,
TX-00191,ACC-CHK-001,ACC-CHK-008,229.75,2026-02-21 16:34:00,internal,p2p_transfer,transfer,normal,
TX-00036,ACC-CHK-005,ACC-BIZ-003,105.66,2026-02-21 17:35:00,card,groceries,withdrawal,normal,
TX-00011,ACC-CHK-002,ACC-BIZ-003,58.77,2026-02-21 21:00:00,card,groceries,withdrawal,normal,
TX-00089,ACC-CHK-011,ACC-BIZ-003,169.99,2026-02-21 22:35:00,card,groceries,withdrawal,normal,
TX-00163,ACC-CHK-020,ACC-BIZ-003,94.55,2026-02-22 05:23:00,card,groceries,withdrawal,normal,
TX-00210,ACC-CYCLE-001,ACC-CYCLE-002,15150.00,2026-02-22 10:15:00,wire,brokerage_settlement,transfer,cycle,circular_trading_001
TX-00211,ACC-CYCLE-002,ACC-CYCLE-003,14960.00,2026-02-22 11:03:00,wire,brokerage_settlement,transfer,cycle,circular_trading_001
TX-00212,ACC-CYCLE-003,ACC-CYCLE-001,15040.00,2026-02-22 12:16:00,wire,brokerage_settlement,transfer,cycle,circular_trading_001
